
"Commission and Incentive Details Report"

"Start Date: 2024-12-30"

"End Date: 2024-12-30"

"Account Type: All"

"Region: All"

"Sales Area: All"

"Area: All"

"Cluster: All"

"Additional Territory: All"

"Channel: All"

"Organization Type: All"

"Organization ID: "

"Schema ID: "

"DateTime","Transaction Type","Channel","Region","Area","Sales Area","Cluster","Additional Territory","Account Type","Transaction ID","Transaction Channel","Organization Type","Organization ID","Organization Name","Schema ID","Schema Name","Incentive source organization","Incentive Balance Amount","Incentive KOIN Amount"
"2024-12-30 07:32:35","Indosat Reload","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651100029277798301","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","594058","588.00",""
"2024-12-30 08:01:46","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651900029278091789","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17475885","321.25",""
"2024-12-30 08:01:46","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651600029278093386","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17475885","321.25",""
"2024-12-30 08:01:46","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651000029278093380","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17475885","321.25",""
"2024-12-30 09:46:32","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651700029279340527","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17686721","860.00",""
"2024-12-30 12:56:58","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651900029281675009","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17687685","1580.00",""
"2024-12-30 13:02:39","Indosat Reload","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651800029281742768","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17681239","338.00",""
"2024-12-30 14:08:58","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651300029282471513","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17519376","4101.25",""
"2024-12-30 14:09:17","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651400029282474994","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17686721","147.50",""
"2024-12-30 15:32:26","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651100029283373331","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17687223","975.00",""
"2024-12-30 16:13:17","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651100029283843101","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17337592","480.00",""
"2024-12-30 16:10:25","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651900029283806639","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17687223","487.50",""
"2024-12-30 16:21:10","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651300029283924673","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17337592","480.00",""
"2024-12-30 16:39:15","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651000029284122770","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17302774","1580.00",""
"2024-12-30 16:55:11","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651800029284316218","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17475885","580.00",""
"2024-12-30 16:55:16","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651600029284316216","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17475885","580.00",""
"2024-12-30 16:45:59","Indosat Reload","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651000029284206090","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","1548014","588.00",""
"2024-12-30 16:45:58","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651000029284202950","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17302774","860.00",""
"2024-12-30 16:55:15","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651700029284316217","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17475885","580.00",""
"2024-12-30 17:01:13","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651400029284388314","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17686721","860.00",""
"2024-12-30 17:38:15","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651700029284845997","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17302774","487.50",""
"2024-12-30 17:40:55","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651400029284878014","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17686721","860.00",""
"2024-12-30 17:52:41","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651500029285033085","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17686721","860.00",""
"2024-12-30 19:18:08","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651500029286340035","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","1076719","435.00",""
"2024-12-30 19:47:15","VoucherCardInjection","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651600029286808636","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","1076719","797.50",""
"2024-12-30 20:52:27","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651900029287706039","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17688365","2425.00",""
"2024-12-30 21:08:36","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651200029287898912","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17337592","860.00",""
"2024-12-30 22:45:06","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651800029288910768","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","1076719","975.00",""
"2024-12-30 23:40:48","Purchase Data Package","Traditional","WEST JAVA","WEST JAVA","CIANJUR","MC-CIANJUR TENGAH","PT-HAURWANGI","Balance","03651700029289294497","API","SDP","SDP1336","SDP HAURWANGI CIANJUR","432","NASIONAL_TRAD_OUTLET_2018_ALL","17302774","1462.50",""
